OW_events;label
[35 38];1
[57 60 57 60];0
[116 220];0
[57 60];0
[];0
[57 60];0
[60 57 60];0
[27 30];0
[60 57];0
[204 207 204 207 204 207];0
[];0
[];1
[40];0
[57 60];0
[64 61 38 64];1
[66 34 69 66];1
[57 60];0
[];1
[ 27 125  31  34  31];1
[34 31 33];0
[43 40];0
[64 61 64 61];0
[35 57 38 60 35 38];0
[57 60 57];0
[34 31];0
[60];0
[35 57 60];1
[];0
[60];0
[57 60];0
[57 60 57 60];0
[];1
[60 57 60];0
[35 38];0
[31 34];0
[60];0
[57 60 57 60];0
[57 60];0
[69];0
[60 57 60 57];0
[118];0
[27 30 27];0
[60];0
[57 60];0
[57 60 35];1
[40 43];0
[];0
[57 60];0
[57 60];0
[];0
[57 60];0
[57 60 57 60 57];0
[57 60 57 60 57 60];0
[66 69];0
[35 38];1
[69];0
[57 60];0
[57 60];0
[];0
[57];0
[34];1
[];0
[118];0
[57 60];0
[31];0
[38 69];1
[];1
[];1
[57 60 57];0
[57 60];0
[];1
[];1
[];0
[122 125];0
[43 40];0
[35 69];1
[40];0
[ 31 125  34 122  31 125];1
[57 60 57 60];0
[43 40 43];0
[57 60];1
[121];0
[57 60];0
[57 60];0
[57 60 57 35 60];1
[57 60];0
[];0
[];1
[57 60];0
[57];0
[];1
[60];0
[217 220 217];0
[57];0
[60];0
[57 60];0
[57];0
[34 31];1
[217  64 220];0
[47 44 47];0
[38 35];1
[35];0
[43 40];0
[38];1
[38 34 31 34];1
[57 60];0
[ 35 113  38  35  38];1
[];0
[38 35];0
[57 60];0
[57 60];0
[57 60];0
[57 60];0
[];1
[40 43 40 43];0
[43];0
[57 60 57 60];0
[57 60];0
[122];0
[];0
[40];0
[57 60];0
[32 37 31];1
[38];1
[220  57 217  60];0
[57 60];0
[43 40];0
[217  34];0
[57 60 57 35 60];1
[57 38 60 35];1
[60];0
[57 60];0
[31 35];0
[57 60];0
[ 47 112  27  31  34];1
[29 37 31];1
[34 31];1
[122 125  31];1
[47];0
[18 34 44 30];0
[30 27 31 33 27];0
[34 31];0
[57];0
[34 30];0
[60 57 60 57];0
[];1
[57 60];0
[125];0
[];1
[];1
[34];0
[34 31];0
[60];0
[30 61 64 27 61];1
[60];0
[61 64];0
[60 57 60];0
[35 38 35];1
[60 57 60];0
[38 35];1
[44 61 64 38];0
[60];0
[34 31];1
[];0
[60 57 60 57];1
[43];0
[57 60 57 60];0
[43];0
[];0
[];1
[];1
[44];0
[34 30];1
[ 31  66 125];0
[60 57 60 35];1
[121];0
[57 60 57 60];0
[57 60];0
[31];0
[35];1
[];0
[];0
[31 34 32];1
[57 60];0
[18 21 31];0
[38 34 31];1
[38 60 35 38 35];1
[];1
[61 64 61];0
[30 27 30];1
[47 44];0
[];1
[217 220];0
[43 40];0
[57 60];0
[];0
[113];1
[57 60];0
[57 60 57];0
[217];0
[];0
[57 60 36];1
[40];0
[];0
[38 35 37];0
[57 60];0
[34 31 57 60];0
[69 66];0
[29 36 27];1
[35];1
[60 57 60];1
[57 60];0
[57];0
[118];0
[38 35 38];1
[];1
[38 60 35 57];0
[31];1
[ 34  69  30 122];0
[60 57 60];0
[66];0
[57 60];0
[40];0
[31];1
[57 60];0
[30];0
[60];0
[27 30 27 30];0
[60];0
[];0
[30];0
[ 34 122  30];0
[121];0
[];0
[38 61];1
[ 66 125  31  69];1
[48 51];0
[40];0
[];1
[];1
[57 60];0
[57 60 57 60 57];0
[];0
[];1
[57];0
[];1
[60];0
[];0
[30 27];0
[57];0
[60 57 60];0
[35 38];1
[38];0
[40 43];0
[47];0
[37];1
[35 38 35];0
[57 60];1
[57];0
[];0
[];0
[57 60];0
[ 38  34  30 122  27 125];1
[27 30 29 37];1
[57 60];0
[43 40 43];0
[35 38];1
[];1
[];0
[38 34];1
[38];1
[38];1
[57 60];0
[57 35 60 38 35 38];1
[];0
[69];0
[ 60 217 220];0
[38];1
[34 31 34];0
[44 61 64 47];0
[38];1
[ 60 220 217];0
[43 40];0
[66];0
[57 60];0
[27 31];0
[57 60 57 60];0
[];1
[57 60];0
[34 30 27 31 35];0
[60];0
[69 64];0
[60];0
[];0
[35 38];1
[125];0
[60];0
[121 118];0
[44 47 44 47];1
[57 60 57 60];0
[57 60];0
[34 30 27];1
[57 60];0
[40 43];0
[57 60 57];0
[57 60];0
[38];1
[34 30 29];0
[57 60];0
[57 60];0
[60 57 60];0
[27 57 60];1
[57 60 57 60];0
[57 60];0
[];0
[];0
[57 60 57 60];0
[];1
[28 33];0
[44 69];1
[57 60];0
[43];0
[60 57 60];0
[38];1
[];0
[];0
[57 60 31];0
[57 60 57 60];0
[37 30 27 57 31 60];1
[38 34 32 38 35];1
[];0
[57 60 57];0
[34];0
[57 60];0
[35 57 60];0
[];0
[27];1
[60 57 60];0
[122];0
[57 60];0
[];0
[27];0
[];1
[27];0
[60 57 60];0
[57 60];0
[60];0
[57 60];0
[57 60 57 60];0
[57 60];0
[35];1
[57 60];0
[35];1
[69];0
[60 57 60];0
[57 60];0
[66];0
[57 60 57];0
[57 60];0
[];1
[31];1
[204];0
[];0
[27 30 27 30];0
[30];0
[57 60];0
[38];0
[57];0
[57 60];0
[57 60];0
[];0
[];1
[ 64 116];1
[57 60];0
[];0
[57 60 57];0
[57 60 57 60];0
[121 118];0
[57 60];0
[61 64];0
[57 60];0
[];1
[];1
[121];0
[];1
[60];0
[36 27 30];0
[57 60 57 60];0
[60];0
[38 35 57];1
[35 38];1
[57 60];0
[57 60 57];0
[40 43];0
[27 31];0
[69];0
[60];0
[];1
[60];0
[38 35 38 35];1
[];0
[];0
[44];0
[43 40];0
[57 60];0
[34];0
[21 27];0
[57 60 57 60];0
[57 60];0
[69 38];1
[121];0
[57 60];0
[31 34];0
[121];0
[60];0
[27  8 17];0
[118 121];0
[34 60 31 34 57];0
[38 34 57 30 60 27];1
[35];1
[60];0
[69];1
[38 35 38 35];1
[31];0
[57 60];0
[69];0
[];1
[38 33];1
[38];1
[60];0
[64 35 61];1
[31];1
[57 60 57 60];0
[118];0
[57 60];0
[57 60];0
[66];1
[ 57  60 217];0
[];0
[57 60 57];0
[57 60];0
[38 35 38];1
[38];0
[];0
[];0
[60];0
[37 69];1
[57];0
[35];1
[31 35];1
[27 30];0
[204  27];0
[38 35 38];1
[64 61 64];0
[121];0
[121 118 121];0
[60];0
[27 31 34 31];0
[];0
[57];0
[];0
[118 121 118];0
[30];0
[121];0
[69];0
[57 60];0
[60];0
[40 43];0
[40 34 31 34 31];0
[69];0
[40 43 40 43];0
[57 60 57];0
[];1
[];1
[66];1
[38 57 60 35];1
[40 43 40];0
[];1
[57 60];0
[];1
[27];0
[66];0
[57 60];0
[60];0
[57 60];0
[57 60 57 60];0
[ 33 122  27 125  30 122 125 122];0
[57 60];0
[57 60];0
[57 60];0
[40];0
[57 60 57 60];0
[57 60 57];0
[57 60];0
[57 60];0
[];0
[57 60];1
[64 61];0
[122];0
[118];0
[35 38 35];1
[34 30 57 60];0
[57 60];0
[57 60];0
[51 48];0
[ 27  32 125];1
[30];0
[125  66 122];0
[57];0
[38];0
[57 60 57];0
[57 60 57];0
[57 60];0
[];1
[31];0
[38 35];1
[57 60];0
[43 40 43];0
[40];0
[28];1
[57 60];0
[57 60];0
[27 30 27];0
[43 40];0
[60 57 60 57];0
[69];0
[40 43 40];0
[31 34 31];0
[122];0
[];1
[27 30];0
[];1
[60];0
[57 60 57];0
[40];0
[57 60 57 60];0
[57];0
[57 60 57 60];0
[61 64 61];0
[121];0
[40 35];1
[217 220];0
[64];0
[ 57  60 125  57  60];0
[57 60];0
[220 217 220];0
[40];0
[57 60];0
[35];0
[31];1
[66];0
[38 35];1
[];1
[57 60];0
[40];0
[61];0
[];0
[57 60 57 60];0
[61 64];0
[57 60 57];0
[57 60 57 60];0
[38 35 38];1
[38 35 38];1
[38 35];1
[27 30];0
[38 35];1
[];0
[60];0
[];1
[];1
[57];0
[60 57];0
[57 60 57];0
[];1
[30 57 60 57];0
[27];1
[57 60];0
[60 57 60];0
[57];0
[57 60];0
[61 64 61 64 61 31];1
[64 47 44 61 64];0
[125  40 122 125];0
[57 60];0
[38 35 38];1
[38 35 38 33];1
[40 43 40];0
[57 60];0
[35];1
[38 35];1
[37 30 27 31 35];1
[30];0
[];0
[57 60 57];0
[40 43];0
[57 60];0
[57 60];0
[28 34 30];0
[ 31 116  34  31  66  35];1
[57 60];0
[];0
[57 60];0
[37 30 57 60];1
[57 60 57 60];0
[57 60];0
[31 35];1
[40 43];0
[38];1
[60];0
[69];0
[57 60];0
[];0
[57 60];0
[57];0
[31 34 31];0
[57 60];0
[60];0
[61 64 61 64];0
[38];1
[ 12   9  22 192  25 185];0
[69];0
[121];0
[27 30 27];1
[];1
[57 60];0
[57 60];0
[118 121];0
[57 60];0
[217];0
[118];0
[43 40 43 40 43];0
[ 43  40 118];0
[57 60];0
[118 121];0
