2905327,13,-1,2399075,1,0,0
2905435,16,0,2399075,2999075,3010075,104641
2905551,17,0,2399075,0,0,0
2905636,20,0,2399075,240300,240196,0
2999080,4,-1,2999075,0,0,0
2999205,5,-1,2999075,240300,240196,0
2999316,6,-1,2999075,1,0,0
2999424,7,-1,2999075,240248,240196,0
2999538,8,-1,2999075,0,0,0
2999622,9,-1,2999075,1,0,0
2999714,11,-1,2999075,1,6,0
2999793,12,-1,2999075,0,0,0
2999935,15,0,2399075,0,0,0
3000091,18,0,2399075,0,0,0
3004251,19,0,2399075,0,0,0
3004852,24,0,2399075,0,0,0
3004938,1,0,2399075,3884369373,1,0
3005042,21,0,2399075,240204,240196,0
3005147,25,0,2399075,240204,240196,0
3005239,14,-1,2399075,0,0,0
3005338,13,-1,2499075,1,0,0
3005446,16,0,2499075,3099075,3110075,104630
3005562,17,0,2499075,0,0,0
3005647,20,0,2499075,240248,240196,0
3099080,4,-1,3099075,0,0,0
3099205,5,-1,3099075,240248,240196,0
3099312,6,-1,3099075,1,0,0
3099431,7,-1,3099075,240256,240196,0
3099543,8,-1,3099075,0,0,0
3099627,9,-1,3099075,1,0,0
3099719,11,-1,3099075,1,6,0
3099799,12,-1,3099075,0,0,0
3099936,15,0,2499075,0,0,0
3100092,18,0,2499075,0,0,0
3104249,19,0,2499075,0,0,0
3104846,24,0,2499075,0,0,0
3104932,1,0,2499075,2118749985,1,0
3105031,21,0,2499075,240220,240196,0
3105137,25,0,2499075,240220,240196,0
3105229,14,-1,2499075,0,0,0
3105328,13,-1,2599075,1,0,0
3105436,16,0,2599075,3199075,3210075,104640
3105552,17,0,2599075,0,0,0
3105636,20,0,2599075,240264,240196,0
3199080,4,-1,3199075,0,0,0
3199205,5,-1,3199075,240264,240196,0
3199308,6,-1,3199075,1,0,0
3199427,7,-1,3199075,240272,240196,0
3199539,8,-1,3199075,0,0,0
3199622,9,-1,3199075,1,0,0
3199715,11,-1,3199075,1,6,0
3199795,12,-1,3199075,0,0,0
3199932,15,0,2599075,0,0,0
3200088,18,0,2599075,0,0,0
3204239,19,0,2599075,0,0,0
3204836,24,0,2599075,0,0,0
3204922,1,0,2599075,1909655188,1,0
3205021,21,0,2599075,240236,240196,0
3205127,25,0,2599075,240236,240196,0
3205218,14,-1,2599075,0,0,0
3205317,13,-1,2699075,1,0,0
3205425,16,0,2699075,3299075,3310075,104651
3205541,17,0,2699075,0,0,0
3205625,20,0,2699075,240280,240196,0
3299080,4,-1,3299075,0,0,0
3299205,5,-1,3299075,240280,240196,0
3299308,6,-1,3299075,3,0,0
3299427,7,-1,3299075,240288,240196,0
3299539,8,-1,3299075,0,0,0
3299623,9,-1,3299075,1,0,0
3299715,11,-1,3299075,1,6,0
3299795,12,-1,3299075,0,0,0
3299932,15,0,2699075,0,0,0
3300088,18,0,2699075,0,0,0
3304239,19,0,2699075,0,0,0
3304836,24,0,2699075,0,0,0
3304922,1,0,2699075,655135397,1,0
3305021,21,0,2699075,240252,240196,0
3305127,25,0,2699075,240252,240196,0
3305219,14,-1,2699075,0,0,0
3305318,13,-1,2799075,1,0,0
3305426,16,0,2799075,3399075,3410075,104650
3305542,17,0,2799075,0,0,0
3305627,20,0,2799075,240288,240196,0
3399080,4,-1,3399075,0,0,0
3399205,5,-1,3399075,240288,240196,0
3399308,6,-1,3399075,4,0,0
3399426,7,-1,3399075,240288,240196,0
3399538,8,-1,3399075,0,0,0
3399622,9,-1,3399075,1,0,0
3399714,11,-1,3399075,1,6,0
3399794,12,-1,3399075,0,0,0
3399931,15,0,2799075,0,0,0
3400087,18,0,2799075,0,0,0
3404239,19,0,2799075,0,0,0
3404836,24,0,2799075,0,0,0
3404922,1,0,2799075,940354920,1,0
3405021,21,0,2799075,240252,240196,0
3405127,25,0,2799075,240252,240196,0
3405219,14,-1,2799075,0,0,0
3405319,13,-1,2899075,1,0,0
3405427,16,0,2899075,3499075,3510075,104649
3405543,17,0,2899075,0,0,0
3405627,20,0,2899075,240288,240196,0
3499080,4,-1,3499075,0,0,0
3499205,5,-1,3499075,240288,240196,0
3499308,6,-1,3499075,2,0,0
3499428,7,-1,3499075,240296,240196,0
3499540,8,-1,3499075,0,0,0
3499623,9,-1,3499075,1,0,0
3499716,11,-1,3499075,1,6,0
3499795,12,-1,3499075,0,0,0
3499932,15,0,2899075,0,0,0
3500088,18,0,2899075,0,0,0
3504239,19,0,2899075,0,0,0
3504836,24,0,2899075,0,0,0
3504922,1,0,2899075,1676973560,1,0
3505021,21,0,2899075,240260,240196,0
3505127,25,0,2899075,240260,240196,0
3505219,14,-1,2899075,0,0,0
3505318,13,-1,2999075,1,0,0
3505426,16,0,2999075,3599075,3610075,104650
3505542,17,0,2999075,0,0,0
3505626,20,0,2999075,240296,240196,0
3599080,4,-1,3599075,0,0,0
3599205,5,-1,3599075,240296,240196,0
3599308,6,-1,3599075,2,0,0
3599426,7,-1,3599075,240300,240196,0
3599538,8,-1,3599075,0,0,0
3599622,9,-1,3599075,1,0,0
