4849652,12,-1,4849034,0,0,0
4949035,4,-1,4949034,0,0,0
4949136,5,-1,4949034,240572,240468,0
4949220,6,-1,4949034,1,0,0
4949333,7,-1,4949034,240580,240468,0
4949431,8,-1,4949034,0,0,0
4949499,2,0,4949,0,0,0
4949561,9,-1,4949034,0,1,0
4949629,12,-1,4949034,0,0,0
5049035,4,-1,5049034,0,0,0
5049136,5,-1,5049034,240580,240468,0
5049220,6,-1,5049034,1,0,0
5049332,7,-1,5049034,240580,240468,0
5049430,8,-1,5049034,0,0,0
5049498,2,0,5049,0,0,0
5049560,9,-1,5049034,0,1,0
5049628,12,-1,5049034,0,0,0
5149035,4,-1,5149034,0,0,0
5149136,5,-1,5149034,240580,240468,0
5149220,6,-1,5149034,1,0,0
5149332,7,-1,5149034,240580,240468,0
5149430,8,-1,5149034,0,0,0
5149498,9,-1,5149034,1,0,0
5149583,11,-1,5149034,1,1,0
5149650,12,-1,5149034,0,0,0
5149734,13,-1,5149034,1,0,0
5149816,16,0,5149034,5749034,6749034,1599219
5149918,17,0,5149034,0,0,0
5149991,20,0,5149034,240520,240468,0
5249035,4,-1,5249034,0,0,0
5249136,5,-1,5249034,240520,240468,0
5249220,6,-1,5249034,1,0,0
5249331,7,-1,5249034,240512,240468,0
5249428,8,-1,5249034,0,0,0
5249496,2,0,5249,0,0,0
5249558,9,-1,5249034,0,1,0
5249625,12,-1,5249034,0,0,0
5349035,4,-1,5349034,0,0,0
5349136,5,-1,5349034,240512,240468,0
5349228,6,-1,5349034,1,0,0
5349339,7,-1,5349034,240512,240468,0
5349437,8,-1,5349034,0,0,0
5349505,2,0,5349,0,0,0
5349567,9,-1,5349034,0,1,0
5349635,12,-1,5349034,0,0,0
5449035,4,-1,5449034,0,0,0
5449136,5,-1,5449034,240512,240468,0
5449220,6,-1,5449034,1,0,0
5449332,7,-1,5449034,240512,240468,0
5449430,8,-1,5449034,0,0,0
5449498,2,0,5449,0,0,0
5449560,9,-1,5449034,0,1,0
5449628,12,-1,5449034,0,0,0
5549035,4,-1,5549034,0,0,0
5549136,5,-1,5549034,240512,240468,0
5549220,6,-1,5549034,1,0,0
5549332,7,-1,5549034,240512,240468,0
5549430,8,-1,5549034,0,0,0
5549498,2,0,5549,0,0,0
5549560,9,-1,5549034,0,1,0
5549628,12,-1,5549034,0,0,0
